NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR
060001609085,0600016,Hillside High,06,1558 W. Ninth St.,Upland,CA,91786,06,06071,San Bernardino County,21,34.095762,-117.680049,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609086,0600016,Upland High,06,565 W. 11th St.,Upland,CA,91786,06,06071,San Bernardino County,21,34.1045,-117.6581,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609087,0600016,Baldy View Elementary,06,979 W. 11th St.,Upland,CA,91786,06,06071,San Bernardino County,21,34.104,-117.6654,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609088,0600016,Cabrillo Elementary,06,1562 W. 11th St.,Upland,CA,91786,06,06071,San Bernardino County,21,34.1025,-117.6799,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609089,0600016,Citrus Elementary,06,925 W. Seventh St.,Upland,CA,91786,06,06071,San Bernardino County,21,34.0896,-117.664,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609090,0600016,Foothill Knolls Academy of Innovation,06,1245 Veterans Ct.,Upland,CA,91786,06,06071,San Bernardino County,21,34.1096,-117.6352,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609091,0600016,Magnolia Elementary,06,465 W. 15th St.,Upland,CA,91786,06,06071,San Bernardino County,21,34.1188,-117.6569,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06041,06025,2022-2023
060001609092,0600016,Pioneer Junior High,06,245 W. 18th St.,Upland,CA,91784,06,06071,San Bernardino County,21,34.1295,-117.6548,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06041,06025,2022-2023
060001609093,0600016,Sierra Vista Elementary,06,253 E. 14th St.,Upland,CA,91786,06,06071,San Bernardino County,21,34.1153,-117.6478,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06041,06025,2022-2023
060001609094,0600016,Sycamore Elementary,06,1075 W. 13th St.,Upland,CA,91786,06,06071,San Bernardino County,21,34.1113,-117.6669,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609095,0600016,Upland Elementary,06,601 N. Fifth Ave.,Upland,CA,91786,06,06071,San Bernardino County,21,34.100994,-117.64478,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609096,0600016,Upland Junior High,06,444 E. 11th St.,Upland,CA,91785,06,06071,San Bernardino County,21,34.1028,-117.6451,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001609097,0600016,Valencia Elementary,06,541 W. 22nd St.,Upland,CA,91784,06,06071,San Bernardino County,21,34.144,-117.6576,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06041,06025,2022-2023
060001609678,0600016,Pepper Tree Elementary,06,1045 W. 18th St.,Upland,CA,91784,06,06071,San Bernardino County,21,34.1297,-117.6671,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06041,06025,2022-2023
060001614642,0600016,Upland Virtual,06,390 N Euclid Ave,Upland,CA,91786,06,06071,San Bernardino County,21,34.098227,-117.650534,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0631,06041,06025,2022-2023
060001701149,0600017,Rio Vista School of Applied Learning,06,13590 Havasu Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.4987,-117.2514,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001705167,0600017,Sycamore Rocks Elementary,06,23450 S. Rd.,Apple Valley,CA,92307,06,06071,San Bernardino County,41,34.5522,-117.1517,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001708297,0600017,Granite Hills High,06,22900 Esaws Rd.,Apple Valley,CA,92307,06,06071,San Bernardino County,41,34.5089,-117.1653,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001708588,0600017,High Desert Premier Academy,06,21950 Nisqually Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.486772,-117.185136,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001709098,0600017,Apple Valley High,06,11837 Navajo Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.4667,-117.189,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001709100,0600017,Mariana Academy,06,10601 Manhasset Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.4442,-117.1872,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001709101,0600017,Rancho Verde Elementary,06,14334 Pioneer Rd.,Apple Valley,CA,92307,06,06071,San Bernardino County,21,34.5122,-117.1806,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001709102,0600017,Yucca Loma Elementary,06,21351 Yucca Loma Rd.,Apple Valley,CA,92307,06,06071,San Bernardino County,21,34.4998,-117.1974,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001709103,0600017,Desert Knolls Elementary,06,18213 Symeron Dr.,Apple Valley,CA,92307,06,06071,San Bernardino County,21,34.5286,-117.2676,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001709272,0600017,Sandia Elementary,06,21331 Sandia Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.4635,-117.1976,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001711122,0600017,Vanguard Preparatory,06,12951 Mesquite Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.4873,-117.1634,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001711747,0600017,Sitting Bull Academy,06,19445 Sitting Bull Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.4848,-117.2375,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001712663,0600017,Phoenix Academy,06,20700 Thunderbird Rd.,Apple Valley,CA,92307,06,06071,San Bernardino County,21,34.532017,-117.2132,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001713290,0600017,Apple Valley Unified Preschool Special Education,06,12555 Navajo Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.479834,-117.189595,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001714643,0600017,Apple Valley Virtual Academy,06,12555 Navajo Rd.,Apple Valley,CA,92308,06,06071,San Bernardino County,21,34.479834,-117.189595,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001809106,0600018,Valley High,06,6930 State Hwy. 3,Hayfork,CA,96041,06,06105,Trinity County,43,40.553344,-123.186166,N,N,0,N,N,N,N,0602,06002,06002,2022-2023
060001809107,0600018,Hayfork High,06,231 Oak St.,Hayfork,CA,96041,06,06105,Trinity County,43,40.551092,-123.171146,N,N,0,N,N,N,N,0602,06002,06002,2022-2023
060001809108,0600018,Hayfork Elementary,06,6930 State Highway 3,Hayfork,CA,96041,06,06105,Trinity County,43,40.553344,-123.186166,N,N,0,N,N,N,N,0602,06002,06002,2022-2023
060001906929,0600019,Dublin Elementary,06,7997 Vomac Rd.,Dublin,CA,94568,06,06001,Alameda County,21,37.714587,-121.936063,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0615,06016,06007,2022-2023
060001908443,0600019,James Dougherty Elementary,06,5301 Hibernia Dr.,Dublin,CA,94568,06,06001,Alameda County,21,37.709946,-121.883879,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0615,06016,06007,2022-2023
060001909273,0600019,Dublin High,06,8151 Village Pkwy.,Dublin,CA,94568,06,06001,Alameda County,21,37.719573,-121.925184,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0615,06016,06007,2022-2023
060001909274,0600019,Valley High (Continuation),06,8151 Village Pkwy.,Dublin,CA,94568,06,06001,Alameda County,21,37.719573,-121.925184,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0615,06016,06007,2022-2023
